date;topic;temp;lat;lng
2019-10-03-16-04-41;TempGPS;18.125;52.442;13.2838
2019-10-03-16-05-14;TempGPS;18.125;52.4422;13.2845
2019-10-03-16-05-18;TempGPS;18.125;52.4422;13.2846
2019-10-03-16-05-44;TempGPS;18.125;52.4424;13.2853
2019-10-03-16-05-46;TempGPS;18.125;52.4424;13.2853
2019-10-03-16-05-48;TempGPS;18.125;52.4424;13.2853
2019-10-03-16-06-07;TempGPS;18.125;52.4426;13.2858
2019-10-03-16-06-30;TempGPS;18.062;52.4427;13.2863
2019-10-03-16-06-32;TempGPS;18.125;52.4427;13.2864
2019-10-03-16-07-16;TempGPS;18.062;52.4431;13.2873
2019-10-03-16-07-18;TempGPS;18.125;52.4431;13.2874
2019-10-03-16-07-39;TempGPS;18.062;52.4433;13.2879
2019-10-03-16-07-41;TempGPS;18.125;52.4433;13.2879
2019-10-03-16-08-19;TempGPS;18.062;52.4436;13.2887
2019-10-03-16-08-21;TempGPS;18.125;52.4436;13.2887
2019-10-03-16-08-48;TempGPS;18.25;52.4438;13.2894
2019-10-03-16-08-50;TempGPS;18.125;52.4438;13.2894
2019-10-03-16-09-06;TempGPS;18.125;52.444;13.2897
2019-10-03-16-09-31;TempGPS;18.125;52.4442;13.2903
2019-10-03-16-09-34;TempGPS;18.125;52.4442;13.2903
2019-10-03-16-09-44;TempGPS;18.125;52.4443;13.2906
2019-10-03-16-09-46;TempGPS;18.125;52.4443;13.2906
2019-10-03-16-09-48;TempGPS;18.125;52.4443;13.2906
2019-10-03-16-09-54;TempGPS;18.125;52.4444;13.2907
2019-10-03-16-09-56;TempGPS;18.125;52.4444;13.2908
2019-10-03-16-10-17;TempGPS;18.125;52.4446;13.2912
2019-10-03-16-10-20;TempGPS;18.125;52.4446;13.2913
2019-10-03-16-10-31;TempGPS;18.125;52.4447;13.2915
2019-10-03-16-10-33;TempGPS;18.125;52.4447;13.2916
2019-10-03-16-11-10;TempGPS;18.125;52.445;13.2924
2019-10-03-16-11-33;TempGPS;18.125;52.4452;13.2928
2019-10-03-16-11-35;TempGPS;18.125;52.4452;13.2928
2019-10-03-16-11-56;TempGPS;18.125;52.4453;13.2933
2019-10-03-16-11-58;TempGPS;18.125;52.4454;13.2933
2019-10-03-16-12-19;TempGPS;18.187;52.4453;13.2939
2019-10-03-16-13-05;TempGPS;18.187;52.4448;13.2946
2019-10-03-16-13-19;TempGPS;18.187;52.4446;13.2948
2019-10-03-16-13-59;TempGPS;18.125;52.4442;13.2954
2019-10-03-16-14-22;TempGPS;18.125;52.4439;13.2957
2019-10-03-16-14-24;TempGPS;18.125;52.4438;13.2958
2019-10-03-16-14-45;TempGPS;18.062;52.4435;13.296
2019-10-03-16-14-47;TempGPS;18.062;52.4435;13.2961
2019-10-03-16-15-08;TempGPS;18.062;52.4433;13.2964
2019-10-03-16-15-10;TempGPS;18.062;52.4432;13.2964
2019-10-03-16-15-31;TempGPS;18.062;52.4429;13.2966
2019-10-03-16-15-33;TempGPS;18.062;52.4429;13.2967
2019-10-03-16-15-54;TempGPS;18.062;52.4426;13.297
2019-10-03-16-15-56;TempGPS;18.062;52.4426;13.297
2019-10-03-16-16-17;TempGPS;18.125;52.4424;13.2973
2019-10-03-16-16-20;TempGPS;18.125;52.4423;13.2973
2019-10-03-16-16-33;TempGPS;18.125;52.4422;13.2976
2019-10-03-16-16-35;TempGPS;18.125;52.4421;13.2976
2019-10-03-16-17-02;TempGPS;18.125;52.4417;13.2979
2019-10-03-16-17-04;TempGPS;18.062;52.4417;13.298
2019-10-03-16-17-26;TempGPS;18.062;52.4415;13.2983
2019-10-03-16-17-28;TempGPS;18.062;52.4414;13.2983
2019-10-03-16-17-35;TempGPS;18.062;52.4414;13.2984
2019-10-03-16-17-48;TempGPS;18.062;52.4412;13.2986
2019-10-03-16-18-11;TempGPS;18.062;52.4408;13.2989
2019-10-03-16-18-34;TempGPS;18.062;52.4405;13.2992
2019-10-03-16-18-36;TempGPS;18.062;52.4405;13.2992
2019-10-03-16-18-57;TempGPS;18.062;52.4402;13.2996
2019-10-03-16-19-20;TempGPS;18.062;52.44;13.3
2019-10-03-16-19-48;TempGPS;18.125;52.4398;13.3
2019-10-03-16-20-11;TempGPS;18.125;52.4395;13.3003
2019-10-03-16-20-32;TempGPS;18.125;52.4393;13.3006
2019-10-03-16-20-36;TempGPS;18.125;52.4392;13.3006
2019-10-03-16-20-46;TempGPS;18.125;52.4391;13.3007
2019-10-03-16-20-53;TempGPS;18.187;52.439;13.3008
2019-10-03-16-20-56;TempGPS;18.125;52.439;13.3008
2019-10-03-16-21-10;TempGPS;18.125;52.4389;13.3011
2019-10-03-16-21-34;TempGPS;18.125;52.4385;13.3013
2019-10-03-16-21-37;TempGPS;18.125;52.4385;13.3014
2019-10-03-16-21-40;TempGPS;18.125;52.4384;13.3014
2019-10-03-16-22-10;TempGPS;18.187;52.4381;13.3018
2019-10-03-16-22-15;TempGPS;18.125;52.4381;13.3019
2019-10-03-16-22-42;TempGPS;18.187;52.4377;13.3023
2019-10-03-16-23-11;TempGPS;18.187;52.4374;13.3027
2019-10-03-16-23-14;TempGPS;18.187;52.4373;13.3027
2019-10-03-16-23-32;TempGPS;18.125;52.4371;13.303
2019-10-03-16-23-36;TempGPS;18.187;52.4371;13.303
2019-10-03-16-23-38;TempGPS;18.187;52.437;13.3031
2019-10-03-16-23-46;TempGPS;18.187;52.437;13.3032
2019-10-03-16-23-57;TempGPS;18.187;52.4368;13.3033
2019-10-03-16-23-59;TempGPS;18.187;52.4368;13.3034
2019-10-03-16-24-01;TempGPS;18.187;52.4368;13.3034
2019-10-03-16-24-31;TempGPS;18.187;52.4364;0.05
2019-10-03-16-24-59;TempGPS;18.187;52.436;13.3042
2019-10-03-16-25-03;TempGPS;18.187;52.436;13.3042
2019-10-03-16-25-06;TempGPS;18.187;52.4359;13.3043
2019-10-03-16-25-18;TempGPS;18.187;52.4358;13.3045
2019-10-03-16-25-21;TempGPS;18.187;52.4358;13.3045
2019-10-03-16-25-23;TempGPS;18.125;52.4357;13.3045
2019-10-03-16-25-25;TempGPS;18.187;52.4357;13.3046
2019-10-03-16-25-41;TempGPS;18.187;52.4356;13.3048
2019-10-03-16-25-43;TempGPS;18.187;52.4356;13.3048
2019-10-03-16-26-04;TempGPS;18.125;52.4352;13.3051
2019-10-03-16-26-06;TempGPS;18.125;52.4352;13.3052
2019-10-03-16-26-08;TempGPS;18.125;52.4352;13.3052
2019-10-03-16-26-27;TempGPS;18.125;52.4349;13.3054
2019-10-03-16-26-29;TempGPS;18.125;52.4349;13.3054
2019-10-03-16-26-50;TempGPS;18.125;52.4347;13.3057
2019-10-03-16-27-13;TempGPS;18.062;52.4344;13.306
2019-10-03-16-27-36;TempGPS;18.062;52.4341;13.3063
2019-10-03-16-27-38;TempGPS;18.062;52.4341;13.3064
2019-10-03-16-27-59;TempGPS;18.062;52.4338;13.3066
2019-10-03-16-28-02;TempGPS;18.062;52.4338;13.3066
2019-10-03-16-28-14;TempGPS;18.062;52.4336;13.3068
2019-10-03-16-28-16;TempGPS;18.062;52.4336;13.3068
2019-10-03-16-28-22;TempGPS;18.125;52.4335;13.3069
2019-10-03-16-28-24;TempGPS;18.125;52.4334;13.307
2019-10-03-16-28-45;TempGPS;18.062;52.4333;13.307
2019-10-03-16-28-47;TempGPS;18;52.4333;13.307
2019-10-03-16-29-07;TempGPS;18.062;52.4333;13.307
2019-10-03-16-29-09;TempGPS;18.062;52.4333;13.307
2019-10-03-16-29-17;TempGPS;18.062;52.4333;13.3071
2019-10-03-16-29-31;TempGPS;18;52.4331;13.3073
2019-10-03-16-29-38;TempGPS;18.062;52.433;13.3073
2019-10-03-16-29-52;TempGPS;18.062;52.4329;13.3077
2019-10-03-16-29-56;TempGPS;18.062;52.4328;13.3077
2019-10-03-16-30-01;TempGPS;18.062;52.4328;13.3078
2019-10-03-16-30-03;TempGPS;18.062;52.4328;13.3079
2019-10-03-16-30-10;TempGPS;18.062;52.4327;13.308
2019-10-03-16-30-12;TempGPS;18.062;52.4327;13.308
